Name,Normalized name,Address,Description,Lat,Lng
Alabama, - ,Alabama, - ,32.318231,-86.902298
Alaska, - ,Alaska, - ,64.200841,-149.493673
Arizona, - ,Arizona, - ,34.048928,-111.093731
Arkansas, - ,Arkansas, - ,35.20105,-91.831833
California, - ,California, - ,36.778261,-119.417932
Colorado, - ,Colorado, - ,39.550051,-105.782067
Connecticut, - ,Connecticut, - ,41.603221,-73.087749
Delaware, - ,Delaware, - ,38.910833,-75.52767
District of Columbia, - ,District of Columbia, - ,38.907192,-77.036871
Florida, - ,Florida, - ,27.664827,-81.515754
Georgia, - ,Georgia, - ,32.165622,-82.900075
Hawaii, - ,Hawaii, - ,19.896766,-155.582782
Idaho, - ,Idaho, - ,44.068202,-114.742041
Illinois, - ,Illinois, - ,40.633125,-89.398528
Indiana, - ,Indiana, - ,40.267194,-86.134902
Iowa, - ,Iowa, - ,41.878003,-93.097702
Kansas, - ,Kansas, - ,39.011902,-98.484247
Kentucky, - ,Kentucky, - ,37.839333,-84.270018
Louisiana, - ,Louisiana, - ,30.984298,-91.962333
Maine, - ,Maine, - ,45.253783,-69.445469
Montana, - ,Montana, - ,46.879682,-110.362566
Nebraska, - ,Nebraska, - ,41.492537,-99.901813
Nevada, - ,Nevada, - ,38.80261,-116.419389
New Hampshire, - ,New Hampshire, - ,43.193852,-71.572395
New Jersey, - ,New Jersey, - ,40.058324,-74.405661
New Mexico, - ,New Mexico, - ,34.51994,-105.87009
New York, - ,New York, - ,40.712784,-74.005941
North Carolina, - ,North Carolina, - ,35.759573,-79.0193
North Dakota, - ,North Dakota, - ,47.551493,-101.002012
Ohio, - ,Ohio, - ,40.417287,-82.907123
Oklahoma, - ,Oklahoma, - ,35.46756,-97.516428
Oregon, - ,Oregon, - ,43.804133,-120.554201
Maryland, - ,Maryland, - ,39.045755,-76.641271
Massachusetts, - ,Massachusetts, - ,42.407211,-71.382437
Michigan, - ,Michigan, - ,44.314844,-85.602364
Minnesota, - ,Minnesota, - ,46.729553,-94.6859
Mississippi, - ,Mississippi, - ,32.354668,-89.398528
Missouri, - ,Missouri, - ,37.964253,-91.831833
Pennsylvania, - ,Pennsylvania, - ,41.203322,-77.194525
Rhode Island, - ,Rhode Island, - ,41.580095,-71.477429
South Carolina, - ,South Carolina, - ,33.836081,-81.163725
South Dakota, - ,South Dakota, - ,43.969515,-99.901813
Tennessee, - ,Tennessee, - ,35.517491,-86.580447
Texas, - ,Texas, - ,31.968599,-99.901813
Utah, - ,Utah, - ,39.32098,-111.093731
Vermont, - ,Vermont, - ,44.558803,-72.577841
Virginia, - ,Virginia, - ,37.431573,-78.656894
Washington, - ,Washington, - ,38.907192,-77.036871
West Virginia, - ,West Virginia, - ,38.597626,-80.454903
Wisconsin, - ,Wisconsin, - ,43.78444,-88.787868
Wyoming, - ,Wyoming, - ,43.075968,-107.290284
Alberta, - ,Alberta, - ,53.933271,-116.576504
British Columbia, - ,British Columbia, - ,53.726668,-127.647621
Manitoba, - ,Manitoba, - ,53.760861,-98.813876
New Brunswick, - ,New Brunswick, - ,40.486216,-74.451819
Newfoundland and Labrador, - ,Newfoundland and Labrador, - ,53.135509,-57.660436
Northwest Territories, - ,Northwest Territories, - ,64.825544,-124.845733
Nova Scotia, - ,Nova Scotia, - ,44.681987,-63.744311
Nunavut, - ,Nunavut, - ,70.299771,-83.107577
Ontario, - ,Ontario, - ,34.063344,-117.650888
