1, ,1 Barrel, Barrel,1 Barrel, 1 Barrel, NULL,12, NULL,80,Belize, NULL, 2012-08-29, n, n, n, n,www.onebarrelrum.com,NULL
2, ,10 Cane,0 Cane,10 Cane, 10 Cane, NULL,9, NULL,80,Barbados, NULL, 2012-08-29, n, n, n, n,www.10cane.com,from Moet-Hennesy formerly distilled in Trinidad
3, ,51 Cachaa,1 Cachaa,51 Cachaa, 51 Cachaa,50,8, NULL,80,Brazil, NULL, 2012-08-29, n, n, n, n,NULL,NULL
4, ,7 Sirens White, Sirens White,7 Sirens White, 7 Sirens White, NULL,9, NULL,80,Trinidad, NULL, 2012-08-29, n, n, n, n,www.7sirens.com,Made in Trinidad operated from Portland
5,A.D. Rattray, Cask Collection Caroni 13-year, Cask Collection Caroni 13-year,A.D. Rattray Cask Collection Caroni 13-year,A.D. Rattray Cask Collection Caroni 13-year, NULL,18, NULL,92,Trinidad, NULL, 2012-08-29, n, n, n, n,NULL,NULL
6,A.D. Rattray, Cask Collection Caroni 15-year, Cask Collection Caroni 15-year,A.D. Rattray Cask Collection Caroni 15-year, A.D. Rattray Cask Collection Caroni 15-year, NULL,18, NULL,92,Trinidad, NULL, 2012-08-29, n, n, n, n,NULL,NULL
7,Abuelo, 12-year, 12-year,Abuelo 12-year, Abuelo 12-year, NULL,12, NULL,80,Panama, NULL, 2012-08-29, n, n, n, n,www.ronabuelopanama.com,NULL
8,Abuelo, 7-year, 7-year,Abuelo 7-year, Abuelo 7-year, NULL,10, NULL,80,Panama, NULL, 2012-08-29, n, n, n, n,www.ronabuelopanama.com,NULL
9,Abuelo, A–ejo, A–ejo,Abuelo A–ejo, Abuelo A–ejo, NULL,8, NULL,80,Panama, NULL, 2012-08-29, n, n, n, n,www.ronabuelopanama.com,NULL
10,Abuelo, Centuria, Centuria,Abuelo Centuria, Abuelo Centuria,300,34, NULL,80,Panama, NULL, 2012-08-29, n, n, n, n,NULL,NULL
11,Alleyne Arthurs, Special Barbados, Special Barbados,Alleyne Arthurs Special Barbados, Alleyne Arthurs Special Barbados, NULL,8, NULL,86,Barbados, NULL, 2012-08-29, n, n, n, n,NULL,NULL
12,Angostura, 1824, 1824,Angostura 1824, Angostura 1824,200,24, NULL,80,Trinidad, NULL, 2012-08-29, n, n, n, n,www.angosturarum.com,NULL
13,Angostura, 1919, 1919,Angostura 1919, Angostura 1919,50,15, NULL,80,Trinidad, NULL, 2012-08-29, n, n, n, n,www.angosturarum.com,NULL
14,Angostura, 5-year, 5-year,Angostura 5-year, Angostura 5-year, NULL,9, NULL,80,Trinidad, NULL, 2012-08-29, n, n, n, n,www.angosturarum.com,NULL
15,Angostura, 7-year, 7-year,Angostura 7-year, Angostura 7-year, NULL,10, NULL,80,Trinidad, NULL, 2012-08-29, n, n, n, n,www.angosturarum.com,NULL
16,Angostura, Cask Collection No. 1, Cask Collection No. 1,Angostura Cask Collection No. 1, Angostura Cask Collection No. 1, NULL,17, NULL,80,Trinidad, NULL, 2012-08-29, n, n, n, n,NULL,First Fill Bourbon cask
